Age,Gender,Grade,Future Setting,Future Place,Work Type,Work Environment,Immediate Goals,Highly Skilled,Skilled,Moderately Skilled,Unskilled
14,Male,9,Rural Area,Move often ,Working with technology,Office setting,Finish schooling,"Teamwork, Decision Making","Written Communication, Verbal Communication, Analytical Ability, Reactive Ability, Creative Thinking, Leadership",Numeracy,Problem Solving
15,Female,9,Rural Area,Move often ,Hands-on work,Outdoors ,Learn a new skill,"Problem Solving, Decision Making","Written Communication, Verbal Communication, Analytical Ability, Reactive Ability, Creative Thinking, Leadership",Numeracy,Teamwork
14,Female,9,Flexible ,Work from anywhere,Creative work,Location Independent Work,Save money,"Written Communication, Problem Solving, Analytical Ability, Reactive Ability, Numeracy, Leadership, Decision Making","Verbal Communication, Teamwork, Creative Thinking",Numeracy,Teamwork
17,Male,10,City,Stay in one place,Helping people,Office setting,Finish schooling,"Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Leadership","Written Communication, Problem Solving, Teamwork, Reactive Ability, Creative Thinking, Leadership, Decision Making",Verbal Communication,Decision Making
15,Male,9,Rural Area,Move often ,Helping people,Office setting,Finish schooling,"Verbal Communication, Analytical Ability, Reactive Ability, Creative Thinking, Leadership, Decision Making","Written Communication, Problem Solving, Teamwork, Reactive Ability, Creative Thinking, Leadership, Decision Making",Numeracy,Teamwork
17,Male,10,City,Stay in one place,Working with technology,Office setting,Learn a new skill,"Written Communication, Teamwork","Verbal Communication, Leadership, Decision Making","Problem Solving, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy",Teamwork
14,Female,9,Rural Area,Move sometimes,Organizing and managing ,Location Independent Work,Finish schooling,"Verbal Communication, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Leadership, Decision Making","Written Communication, Problem Solving, Numeracy",Numeracy,Teamwork
17,Female,10,City,Work from anywhere,Working with technology,Office setting,Finish schooling,Leadership,"Written Communication, Verbal Communication, Teamwork, Creative Thinking, Decision Making","Problem Solving, Analytical Ability, Reactive Ability, Numeracy",Teamwork
17,Female,10,City,Work from anywhere,Working with technology,Office setting,Finish schooling,Leadership,"Written Communication, Verbal Communication, Teamwork, Creative Thinking, Decision Making","Problem Solving, Analytical Ability, Reactive Ability, Numeracy",Teamwork
14,Male,9,Rural Area,Move sometimes,Organizing and managing ,Location Independent Work,Finish schooling,"Verbal Communication, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Leadership, Decision Making","Written Communication, Problem Solving, Numeracy",Numeracy,Teamwork
15,Female,10,Rural Area,Move sometimes,Organizing and managing ,Location Independent Work,Finish schooling,"Verbal Communication, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Leadership, Decision Making","Written Communication, Problem Solving, Numeracy",Numeracy,Teamwork
14,Female,9,City,Work from anywhere,Working with technology,Office setting,Finish schooling,Leadership,"Written Communication, Verbal Communication, Teamwork, Creative Thinking, Decision Making","Problem Solving, Analytical Ability, Reactive Ability, Numeracy",Teamwork
15,Female,10,Abroad ,Move often ,Organizing and managing ,Collaborative ,Finish schooling,"Verbal Communication, Teamwork, Analytical Ability, Reactive Ability, Numeracy, Leadership, Decision Making","Written Communication, Problem Solving, Creative Thinking",Numeracy,Teamwork
15,Female,9,Abroad ,Move often ,Organizing and managing ,Outdoors ,Finish schooling,"Teamwork, Reactive Ability, Creative Thinking, Leadership, Decision Making","Written Communication, Verbal Communication, Problem Solving, Analytical Ability, Numeracy",Numeracy,Teamwork
16,Male,10,Suburban Area,Move often ,Working with technology,Independent ,Finish schooling,"Analytical Ability, Creative Thinking","Written Communication, Verbal Communication, Problem Solving, Teamwork, Reactive Ability, Numeracy, Decision Making",Leadership,Teamwork
17,Male,10,Flexible ,Work from anywhere,Hands-on work,Independent ,Explore different careers,"Numeracy, Decision Making","Written Communication, Verbal Communication, Problem Solving, Teamwork, Reactive Ability, Creative Thinking, Leadership",Analytical Ability,Teamwork
17,Male,10,Flexible ,Move sometimes,Organizing and managing ,Office setting,Finish schooling,Written Communication,"Verbal Communication, Analytical Ability, Creative Thinking, Numeracy, Leadership","Problem Solving, Reactive Ability, Decision Making",Teamwork
