Gender,Future Setting,Future Place,Skill 1,Skill 2,Skill 3,Skill 4,Skill 5,Strand
Male,Abroad,Flexibility,Leadership,Self motivation,Team Work,Analytical Ability,Time Management,GAS
Male,Suburban Area,Flexibility,Written Communication,Self motivation,Problem Solving,Time Management,Decision Making,ABM
Male,City,Move Often,Leadership,Verbal Communication,Flexibility,Numeracy,Written Communication,TVL
Male,City,Stay in one place,Time Management,Leadership,Problem Solving,Verbal Communication,Leadership,HUMSS
Female,Flexible,Work from anywhere,Leadership,Analytical Ability,Analytical Ability,Negotiating,Flexibility,GAS
Male,Rural Area,Work from anywhere,Numeracy,Written Communication,Analytical Ability,Time Management,Self motivation,ABM
Male,Suburban Area,Flexibility,Commercial Awareness,Analytical Ability,Team Work,Analytical Ability,Creative Thinking,ABM
Male,Rural Area,Work from anywhere,Time Management,Decision Making,Decision Making,Self motivation,Self motivation,HUMSS
Male,Suburban Area,Flexibility,Verbal Communication,Numeracy,Time Management,Time Management,Team Work,ABM
Female,Flexible,Move Often,Written Communication,Problem Solving,Time Management,Self motivation,Analytical Ability,TVL
Female,Flexible,Flexibility,Analytical Ability,Written Communication,Creative Thinking,Leadership,Time Management,HUMSS
Male,Suburban Area,Stay in one place,Creative Thinking,Numeracy,Commercial Awareness,Commercial Awareness,Verbal Communication,STEM
Male,Rural Area,Move Often,Time Management,Self motivation,Negotiating,Decision Making,Written Communication,STEM
Female,City,Flexibility,Negotiating,Team Work,Problem Solving,Team Work,Analytical Ability,STEM
Male,Abroad,Move Often,Decision Making,Creative Thinking,Time Management,Team Work,Analytical Ability,GAS
Male,Abroad,Move Often,Problem Solving,Analytical Ability,Time Management,Verbal Communication,Numeracy,STEM
Male,Flexible,Work from anywhere,Analytical Ability,Flexibility,Problem Solving,Commercial Awareness,Negotiating,HUMSS
Male,Abroad,Work from anywhere,Problem Solving,Self motivation,Flexibility,Decision Making,Flexibility,STEM
Female,City,Flexibility,Problem Solving,Negotiating,Team Work,Creative Thinking,Problem Solving,TVL
Male,Rural Area,Stay in one place,Analytical Ability,Team Work,Self motivation,Decision Making,Analytical Ability,TVL
Female,Suburban Area,Flexibility,Decision Making,Analytical Ability,Problem Solving,Analytical Ability,Negotiating,STEM
Female,Flexible,Work from anywhere,Problem Solving,Decision Making,Team Work,Decision Making,Decision Making,TVL
Female,Rural Area,Stay in one place,Team Work,Numeracy,Leadership,Commercial Awareness,Numeracy,TVL
Female,Suburban Area,Move Often,Self motivation,Numeracy,Negotiating,Negotiating,Time Management,ABM
Female,City,Move Often,Team Work,Written Communication,Self motivation,Flexibility,Negotiating,STEM
Male,Flexible,Move Often,Verbal Communication,Self motivation,Written Communication,Decision Making,Written Communication,GAS
Male,Suburban Area,Work from anywhere,Analytical Ability,Creative Thinking,Self motivation,Team Work,Self motivation,ABM
Female,Suburban Area,Work from anywhere,Negotiating,Flexibility,Creative Thinking,Leadership,Numeracy,HUMSS
Male,City,Flexibility,Decision Making,Written Communication,Analytical Ability,Commercial Awareness,Commercial Awareness,TVL
Female,City,Flexibility,Problem Solving,Flexibility,Negotiating,Negotiating,Numeracy,TVL
Male,Suburban Area,Work from anywhere,Self motivation,Problem Solving,Flexibility,Written Communication,Creative Thinking,ABM
Female,Suburban Area,Move Often,Decision Making,Verbal Communication,Verbal Communication,Decision Making,Time Management,ABM
Male,Rural Area,Move Often,Negotiating,Flexibility,Leadership,Numeracy,Analytical Ability,GAS
Male,Flexible,Stay in one place,Creative Thinking,Numeracy,Leadership,Flexibility,Flexibility,HUMSS
Female,Suburban Area,Stay in one place,Decision Making,Decision Making,Self motivation,Time Management,Numeracy,TVL
Female,City,Work from anywhere,Negotiating,Decision Making,Problem Solving,Written Communication,Negotiating,TVL
Female,Rural Area,Move Often,Analytical Ability,Leadership,Written Communication,Numeracy,Self motivation,HUMSS
Female,Suburban Area,Flexibility,Analytical Ability,Team Work,Written Communication,Written Communication,Problem Solving,ABM
Male,City,Move Often,Flexibility,Numeracy,Decision Making,Problem Solving,Decision Making,STEM
Female,Flexible,Move Often,Creative Thinking,Decision Making,Self motivation,Commercial Awareness,Problem Solving,STEM
Female,City,Stay in one place,Creative Thinking,Leadership,Problem Solving,Verbal Communication,Analytical Ability,HUMSS
Male,City,Flexibility,Problem Solving,Self motivation,Flexibility,Leadership,Decision Making,ABM
Male,Suburban Area,Move Often,Written Communication,Self motivation,Time Management,Decision Making,Creative Thinking,STEM
Female,Suburban Area,Flexibility,Numeracy,Analytical Ability,Written Communication,Leadership,Leadership,ABM
Male,City,Flexibility,Flexibility,Decision Making,Negotiating,Self motivation,Verbal Communication,ABM
Female,Abroad,Work from anywhere,Creative Thinking,Decision Making,Commercial Awareness,Analytical Ability,Written Communication,TVL
Female,Rural Area,Flexibility,Team Work,Commercial Awareness,Negotiating,Creative Thinking,Problem Solving,STEM
Male,City,Flexibility,Creative Thinking,Verbal Communication,Numeracy,Leadership,Self motivation,HUMSS
Male,Flexible,Move Often,Commercial Awareness,Negotiating,Flexibility,Problem Solving,Flexibility,ABM
Male,Suburban Area,Work from anywhere,Problem Solving,Team Work,Verbal Communication,Negotiating,Leadership,ABM
Female,City,Work from anywhere,Verbal Communication,Analytical Ability,Time Management,Time Management,Flexibility,GAS
Male,City,Work from anywhere,Decision Making,Negotiating,Creative Thinking,Team Work,Verbal Communication,TVL
Male,City,Stay in one place,Time Management,Written Communication,Leadership,Verbal Communication,Commercial Awareness,GAS
Male,Suburban Area,Work from anywhere,Negotiating,Team Work,Negotiating,Time Management,Negotiating,ABM
Female,Flexible,Move Often,Commercial Awareness,Commercial Awareness,Commercial Awareness,Verbal Communication,Numeracy,ABM
Female,Flexible,Stay in one place,Team Work,Self motivation,Negotiating,Creative Thinking,Negotiating,TVL
Female,Rural Area,Stay in one place,Decision Making,Verbal Communication,Leadership,Verbal Communication,Problem Solving,GAS
Male,City,Work from anywhere,Commercial Awareness,Time Management,Analytical Ability,Problem Solving,Negotiating,ABM
Male,City,Flexibility,Flexibility,Problem Solving,Analytical Ability,Team Work,Numeracy,GAS
Male,City,Flexibility,Decision Making,Written Communication,Creative Thinking,Leadership,Self motivation,TVL
Male,Abroad,Stay in one place,Commercial Awareness,Self motivation,Problem Solving,Flexibility,Creative Thinking,STEM
Female,Abroad,Move Often,Self motivation,Written Communication,Team Work,Problem Solving,Verbal Communication,STEM
Female,Abroad,Stay in one place,Decision Making,Negotiating,Self motivation,Numeracy,Self motivation,STEM
Male,Rural Area,Move Often,Written Communication,Verbal Communication,Team Work,Creative Thinking,Decision Making,ABM
Male,Flexible,Flexibility,Verbal Communication,Team Work,Written Communication,Leadership,Self motivation,TVL
Female,Suburban Area,Work from anywhere,Negotiating,Leadership,Creative Thinking,Commercial Awareness,Team Work,STEM
Female,Abroad,Move Often,Team Work,Negotiating,Flexibility,Time Management,Leadership,HUMSS
Female,Flexible,Work from anywhere,Creative Thinking,Self motivation,Problem Solving,Leadership,Problem Solving,GAS
Male,Flexible,Move Often,Numeracy,Commercial Awareness,Self motivation,Leadership,Self motivation,GAS
Male,Suburban Area,Work from anywhere,Team Work,Numeracy,Numeracy,Creative Thinking,Analytical Ability,HUMSS
